Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
55.0,23.0,21738414.0,56833732.0,121598260.0,0.40006736,0.38885295,0.36145365,0.39877942,0.39118856,0.35439867,276.71692,278.0164,283.80508,0.01649523,0.020801118,0.06419736,2025-12-01
55.0,23.1,21678814.0,56264160.0,121268540.0,0.40121573,0.3904724,0.36613712,0.40017077,0.39315644,0.36048102,276.6686,277.97015,283.73215,0.016624117,0.021088285,0.06513344,2025-12-01
55.0,23.2,21567776.0,55557504.0,120934190.0,0.40087947,0.38995463,0.36802083,0.40012276,0.39317882,0.36265072,276.60263,277.91455,283.6552,0.016277226,0.021176567,0.06574497,2025-12-01
55.0,23.3,21442182.0,54812390.0,120598504.0,0.4012112,0.39006856,0.3689915,0.40051383,0.39336395,0.36374345,276.5303,277.85556,283.58163,0.015796931,0.021208344,0.0662651,2025-12-01
55.0,23.4,21349204.0,54171896.0,120319550.0,0.40112022,0.3893092,0.3663842,0.4003929,0.39243013,0.36024526,276.46057,277.80994,283.52902,0.015433729,0.021248749,0.06681464,2025-12-01
55.0,23.5,21289104.0,53634476.0,120097630.0,0.40197867,0.3904434,0.36708364,0.40118748,0.39328715,0.36134684,276.40573,277.77158,283.4754,0.015183859,0.021295255,0.06739022,2025-12-01
55.0,23.6,21322308.0,53388812.0,120036220.0,0.40255228,0.39138794,0.37087962,0.40190238,0.39437306,0.36620846,276.3977,277.7583,283.4322,0.015249021,0.021351902,0.06805433,2025-12-01
55.0,23.7,21354696.0,53143610.0,119963800.0,0.40283316,0.3918269,0.37299863,0.40230307,0.3949117,0.36892897,276.38748,277.74918,283.4008,0.015302151,0.02140542,0.0687155,2025-12-01
55.0,23.8,21383516.0,52902604.0,119842590.0,0.40286425,0.39196268,0.37423214,0.4024155,0.39501953,0.3702752,276.38156,277.74548,283.3777,0.015299827,0.021441257,0.069370314,2025-12-01
55.0,23.9,21433082.0,52752680.0,119669960.0,0.40260088,0.39148965,0.37248477,0.402129,0.394398,0.3677821,276.35538,277.74136,283.34982,0.015262365,0.02147152,0.0699985,2025-12-01
55.0,24.0,21512954.0,52727696.0,119428184.0,0.40226293,0.3908666,0.36967123,0.401769,0.39365998,0.3640102,276.31653,277.74136,283.31177,0.01514186,0.021433009,0.070606425,2025-12-01
55.0,24.1,21564566.0,52621384.0,119179176.0,0.40274784,0.3922938,0.37373155,0.40244377,0.39517212,0.36895064,276.25824,277.72147,283.2421,0.015147589,0.021683192,0.07107646,2025-12-01
55.0,24.2,21609892.0,52497110.0,118928210.0,0.4030485,0.39335936,0.37678775,0.40288684,0.3962845,0.3726521,276.18805,277.69757,283.17343,0.015181959,0.021995468,0.071514025,2025-12-01
55.0,24.3,21657774.0,52374404.0,118672590.0,0.3982465,0.38730368,0.37390432,0.39899528,0.39091137,0.3692991,276.12903,277.68155,283.12415,0.015210547,0.022279335,0.071969494,2025-12-01
55.0,24.4,21721208.0,52258750.0,118397576.0,0.39456233,0.38281047,0.37124634,0.396108,0.3869929,0.3660613,276.0659,277.66006,283.07123,0.015278161,0.022405235,0.07250366,2025-12-01
55.0,24.5,21852294.0,52173010.0,118038300.0,0.3950218,0.38246968,0.37505218,0.39646065,0.38619995,0.37068373,275.9641,277.597,282.9674,0.015517294,0.021859435,0.0733759,2025-12-01
55.1,10.5,26158366.0,57840144.0,112673860.0,0.3733402,0.37002462,0.35564545,0.37572733,0.36582386,0.34065935,279.45007,280.7536,285.52795,0.014460967,0.021260908,0.07089153,2025-12-01
