row_id,Lat,Lon
759,67.4,19.2
760,67.4,19.3
761,67.4,19.4
762,67.4,19.5
763,67.4,19.6
764,67.4,19.7
765,67.4,19.8
766,67.4,19.9
767,67.4,20.0
768,67.4,20.1
769,67.4,20.2
770,67.4,20.3
771,67.4,20.4
772,67.4,20.5
773,67.4,20.6
774,67.4,20.7
775,67.4,20.8
776,67.4,20.9
777,67.4,21.0
778,67.4,21.1
779,67.4,21.2
780,67.4,21.3
781,67.4,21.4
782,67.4,21.5
783,67.4,21.6
784,67.4,21.7
785,67.4,21.8
786,67.4,21.9
787,67.4,22.0
788,67.4,22.1
789,67.4,22.2
790,67.4,22.3
791,67.4,22.4
792,67.4,22.5
793,67.4,22.6
794,67.4,22.7
795,67.4,22.8
796,67.4,22.9
797,67.4,23.0
798,67.4,23.1
799,67.4,23.2
800,67.4,23.3
801,67.4,23.4
802,67.4,23.5
803,67.3,16.2
804,67.3,16.3
805,67.3,16.4
806,67.3,16.5
807,67.3,16.6
808,67.3,16.7
809,67.3,16.8
810,67.3,16.9
811,67.3,17.0
812,67.3,17.1
813,67.3,17.2
814,67.3,17.3
815,67.3,17.4
816,67.3,17.5
817,67.3,17.6
818,67.3,17.7
819,67.3,17.8
820,67.3,17.9
821,67.3,18.0
822,67.3,18.1
823,67.3,18.2
824,67.3,18.3
825,67.3,18.4
826,67.3,18.5
827,67.3,18.6
828,67.3,18.7
829,67.3,18.8
830,67.3,18.9
831,67.3,19.0
832,67.3,19.1
833,67.3,19.2
834,67.3,19.3
835,67.3,19.4
836,67.3,19.5
837,67.3,19.6
838,67.3,19.7
839,67.3,19.8
840,67.3,19.9
841,67.3,20.0
842,67.3,20.1
843,67.3,20.2
844,67.3,20.3
845,67.3,20.4
846,67.3,20.5
847,67.3,20.6
848,67.3,20.7
849,67.3,20.8
850,67.3,20.9
851,67.3,21.0
852,67.3,21.1
853,67.3,21.2
854,67.3,21.3
855,67.3,21.4
856,67.3,21.5
857,67.3,21.6
858,67.3,21.7
859,67.3,21.8
860,67.3,21.9
861,67.3,22.0
862,67.3,22.1
863,67.3,22.2
864,67.3,22.3
865,67.3,22.4
866,67.3,22.5
867,67.3,22.6
868,67.3,22.7
869,67.3,22.8
870,67.3,22.9
871,67.3,23.0
872,67.3,23.1
873,67.3,23.2
874,67.3,23.3
875,67.3,23.4
876,67.3,23.5
877,67.2,16.1
878,67.2,16.2
879,67.2,16.3
880,67.2,16.4
881,67.2,16.5
882,67.2,16.6
883,67.2,16.7
884,67.2,16.8
885,67.2,16.9
886,67.2,17.0
887,67.2,17.1
888,67.2,17.2
889,67.2,17.3
890,67.2,17.4
891,67.2,17.5
892,67.2,17.6
893,67.2,17.7
894,67.2,17.8
895,67.2,17.9
896,67.2,18.0
897,67.2,18.1
898,67.2,18.2
899,67.2,18.3
900,67.2,18.4
901,67.2,18.5
902,67.2,18.6
903,67.2,18.7
904,67.2,18.8
905,67.2,18.9
906,67.2,19.0
907,67.2,19.1
908,67.2,19.2
909,67.2,19.3
910,67.2,19.4
911,67.2,19.5
912,67.2,19.6
913,67.2,19.7
914,67.2,19.8
915,67.2,19.9
916,67.2,20.0
917,67.2,20.1
918,67.2,20.2
919,67.2,20.3
920,67.2,20.4
921,67.2,20.5
922,67.2,20.6
923,67.2,20.7
924,67.2,20.8
925,67.2,20.9
926,67.2,21.0
927,67.2,21.1
928,67.2,21.2
929,67.2,21.3
930,67.2,21.4
931,67.2,21.5
932,67.2,21.6
933,67.2,21.7
934,67.2,21.8
935,67.2,21.9
936,67.2,22.0
937,67.2,22.1
938,67.2,22.2
939,67.2,22.3
940,67.2,22.4
941,67.2,22.5
942,67.2,22.6
943,67.2,22.7
944,67.2,22.8
945,67.2,22.9
946,67.2,23.0
947,67.2,23.1
948,67.2,23.2
949,67.2,23.3
950,67.2,23.4
951,67.2,23.5
952,67.1,16.0
953,67.1,16.1
954,67.1,16.2
955,67.1,16.3
956,67.1,16.4
957,67.1,16.5
958,67.1,16.6
959,67.1,16.7
960,67.1,16.8
961,67.1,16.9
962,67.1,17.0
963,67.1,17.1
964,67.1,17.2
965,67.1,17.3
966,67.1,17.4
967,67.1,17.5
968,67.1,17.6
969,67.1,17.7
970,67.1,17.8
971,67.1,17.9
972,67.1,18.0
973,67.1,18.1
974,67.1,18.2
975,67.1,18.3
976,67.1,18.4
977,67.1,18.5
978,67.1,18.6
979,67.1,18.7
980,67.1,18.8
981,67.1,18.9
982,67.1,19.0
983,67.1,19.1
984,67.1,19.2
985,67.1,19.3
986,67.1,19.4
987,67.1,19.5
988,67.1,19.6
989,67.1,19.7
990,67.1,19.8
991,67.1,19.9
992,67.1,20.0
993,67.1,20.1
994,67.1,20.2
995,67.1,20.3
996,67.1,20.4
997,67.1,20.5
998,67.1,20.6
999,67.1,20.7
1000,67.1,20.8
1001,67.1,20.9
1002,67.1,21.0
1003,67.1,21.1
1004,67.1,21.2
1005,67.1,21.3
1006,67.1,21.4
1007,67.1,21.5
1008,67.1,21.6
1009,67.1,21.7
1010,67.1,21.8
1011,67.1,21.9
1012,67.1,22.0
1013,67.1,22.1
1014,67.1,22.2
1015,67.1,22.3
1016,67.1,22.4
1017,67.1,22.5
1018,67.1,22.6
1019,67.1,22.7
1020,67.1,22.8
1021,67.1,22.9
1022,67.1,23.0
1023,67.1,23.1
1024,67.1,23.2
1025,67.1,23.3
1026,67.1,23.4
