row_id,Lat,Lon,Month,NDVI,NDVI_clim,NDVI_anom,NDVI_lag1,NDVI_anom_lag1,NDVI_lag2,NDVI_anom_lag2
4062,65.49453992199034,19.445923964002585,2024-07-01,0.8212,0.7650187500000001,0.0561812499999999,0.70865,0.0100124999999999,0.60505,0.0347749999999998
4063,65.49391588942066,19.44685338836443,2024-07-01,0.81845,0.7677750000000001,0.0506749999999999,0.658,-0.0624875,0.68265,0.06740625
4064,60.23894322267609,16.93929274490713,2024-07-01,0.84135,0.8572625,-0.0159124999999999,0.8222,-0.0157437499999999,0.8139000000000001,0.0648874999999999
4065,66.0033331858036,19.297619852470632,2024-07-01,0.59145,0.67024375,-0.07879375,0.4456,-0.18146875,0.47755,-0.048425
4066,65.79810331300432,20.74710208074384,2024-07-01,0.8168500000000001,0.8066562500000001,0.01019375,0.8115,0.0150124999999999,0.7207,0.05043125
4067,59.85193542827803,19.065574858002993,2024-08-01,0.80845,0.77729375,0.0311562499999999,0.8216,0.0793312499999999,0.8205,0.0287562499999999
4068,61.8021919574432,14.43131314540562,2024-07-01,0.6117,0.560225,0.051475,0.55365,0.0263312499999999,0.4878,0.0686312499999999
4069,59.64797836366621,17.096833388287365,2024-08-01,0.54935,0.54290625,0.0064437499999999,0.44405,-0.07409375,0.4385,-0.1149624999999999
4070,58.95652597017517,15.365046119066385,2024-08-01,0.7513500000000001,0.7385750000000001,0.0127749999999999,0.7871,0.0532187499999999,0.7724000000000001,0.0161625
4071,59.84534383251331,19.074909189888444,2024-08-01,0.81915,0.7673000000000001,0.0518499999999999,0.81915,0.0518499999999999,0.6222500000000001,-0.12513125
4072,59.74190965388337,16.26610709269267,2024-08-01,0.71485,0.7279562500000001,-0.01310625,0.77625,0.0387374999999999,0.70165,-0.00245
4073,59.10248304183159,15.39468869376828,2024-08-01,0.82745,0.841475,-0.0140249999999999,0.88365,0.0169,0.88365,0.0169
4074,59.10258167405194,15.394652610182328,2024-08-01,0.82745,0.841475,-0.0140249999999999,0.82745,-0.0140249999999999,0.88365,0.0169
4075,58.22400218566001,14.621849613357991,2023-05-01,0.7544500000000001,0.75421875,0.00023125,0.7544500000000001,0.00023125,0.6302,-0.0028375
4076,59.26546556515212,17.93936475020987,2024-08-01,0.82935,0.8196187500000001,0.0097312499999999,0.86895,0.1104374999999999,0.78815,-0.02909375
4077,56.37116513194917,14.967058047602986,2024-07-01,0.8511500000000001,0.79686875,0.05428125,0.8236,0.0031562499999999,0.7848,0.0344062499999999
4078,58.84709721180398,12.395518440872824,2024-08-01,0.8357,0.7870250000000001,0.0486749999999999,0.8147500000000001,0.002075,0.8294,0.0116374999999999
4079,57.535287574777094,11.937130392096083,2024-08-01,0.77675,0.777775,-0.0010249999999999,0.8209500000000001,0.0621749999999999,0.77705,0.0431687499999999
4080,59.29223668179067,17.997053880685822,2024-07-01,0.5877,0.487675,0.1000249999999999,0.49595,-0.0364999999999999,0.515,0.03994375
4081,59.799463688126565,17.635382297826,2024-08-01,0.7029000000000001,0.6788500000000001,0.02405,0.69455,0.0118374999999999,0.67625,0.0047312499999999
4082,63.61412026047689,19.285579866806273,2024-08-01,0.79615,0.782475,0.0136749999999999,0.8412000000000001,0.030025,0.8149500000000001,0.0207374999999999
4083,64.27806553197883,20.08094139138866,2024-08-01,0.7435,0.7524500000000001,-0.00895,0.7224,-0.03224375,0.72485,-0.0025625
4084,64.25404870331654,19.97335045614729,2024-08-01,0.75455,0.7501562500000001,0.0043937499999999,0.7958500000000001,0.0161562499999999,0.7958500000000001,0.0161562499999999
4085,64.25346207183772,19.97249761383549,2024-08-01,0.75455,0.7501562500000001,0.0043937499999999,0.75455,0.0043937499999999,0.7958500000000001,0.0161562499999999
4086,64.25564778838533,19.99627578530901,2024-08-01,0.7277,0.77046875,-0.04276875,0.7277,-0.04276875,0.8142,0.0449749999999999
4087,56.77650763719499,14.028778328267268,2024-04-01,0.6496500000000001,0.62336875,0.02628125,0.5943,0.005125,0.8108500000000001,0.21205625
4088,59.481747685282656,15.110409171895371,2024-08-01,0.8006500000000001,0.7916062500000001,0.00904375,0.8294,0.0439312499999999,0.8135,0.0269999999999999
4089,59.401597825901085,17.829246085177406,2024-06-01,0.76525,0.73088125,0.0343687499999999,0.7493500000000001,0.05603125,0.5184,0.0081875
4090,58.93549007993927,15.239945681227606,2024-08-01,0.78785,0.7795625,0.0082875,0.8086,0.0180249999999999,0.8006000000000001,0.00895
