row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
4366,60.66926223544458,16.54721529635182,2024-08-29 00:00:00,Sandviken,Gävleborg,1,0
4367,60.66923662865538,16.546976905019246,2024-08-29 00:00:00,Sandviken,Gävleborg,1,0
4368,60.661684825671664,16.50422853802882,2024-08-28 00:00:00,Sandviken,Gävleborg,1,0
4369,60.65511555895796,16.450403473156555,2024-08-28 00:00:00,Sandviken,Gävleborg,1,0
4370,60.660637232900015,16.49508037953221,2024-08-28 00:00:00,Sandviken,Gävleborg,1,0
4371,60.656192754984204,16.3750547296274,2024-08-27 00:00:00,Sandviken,Gävleborg,1,0
4372,60.65588067328779,16.374573827322358,2024-08-27 00:00:00,Sandviken,Gävleborg,1,0
4373,60.66536544229301,16.517714954241338,2024-08-29 00:00:00,Sandviken,Gävleborg,1,0
4374,61.10202195990398,15.523952437265521,2024-08-20 00:00:00,Rättvik,Dalarna,1,0
4375,61.309659668424906,15.337558501417124,2024-06-27 12:00:00,Rättvik,Dalarna,22,0
4376,61.30519082037892,15.342850346026287,2024-06-27 12:00:00,Rättvik,Dalarna,5,0
4377,57.62603963015486,15.309125558021462,2024-10-15 00:00:00,Eksjö,Jönköping,1,0
4378,57.632941643643754,15.297112158602902,2024-10-15 00:00:00,Eksjö,Jönköping,1,0
4379,57.62690125754444,15.32528221731123,2024-10-15 00:00:00,Eksjö,Jönköping,1,0
4380,57.19435378473828,14.050705979602593,2024-10-09 00:00:00,Värnamo,Jönköping,1,0
4381,59.43227652141354,15.96376718449849,2024-09-26 00:00:00,Kungsör,Västmanland,1,0
4382,61.20402741514222,16.96725015774601,2024-11-14 00:00:00,Söderhamn,Gävleborg,1,0
4383,59.38274126174723,13.417480778579957,2024-06-13 00:00:00,Karlstad,Värmland,1,0
4384,59.38852187082184,13.40754977495081,2024-06-12 00:00:00,Karlstad,Värmland,1,0
4385,59.38395204208693,13.402732805507114,2024-06-11 00:00:00,Karlstad,Värmland,1,0
4386,59.382704738319795,13.40424686065439,2024-06-11 00:00:00,Karlstad,Värmland,1,0
